,0
N3118,0.07809958887817947
N6045,0.07070273294355212
N8932,0.06581944559597908
N2496,0.06490256485767021
N686,0.0625709242760295
N6746,0.062267299329547
N8796,0.06129819105686751
N5389,0.06116928424938939
N3482,0.06082909409407322
N6344,0.059470130462000004
N2137,0.059400541235069326
N9215,0.05870778441206026
N9375,0.05866686699614254
N3315,0.05854869335568935
N5382,0.058274620206616
N3226,0.057887046645723084
N4822,0.05747672622384803
N8507,0.05718920297015928
N5703,0.05679562021501128
N6653,0.05673607827776039
N7785,0.05639991231217101
N8584,0.05562310505510104
N6534,0.05548910273622476
N3072,0.055270825565216564
N2454,0.05425486813329239
N3416,0.05417549769047669
N9265,0.05367832832185715
N5011,0.053584715315693865
N7074,0.05289206485347253
N7634,0.05276677685948705
N1242,0.05263983978236175
N6781,0.0521637231671479
N9593,0.051415765942299796
N5439,0.05075726652854784
N9274,0.0505461369718303
N6878,0.050405455641022945
N4542,0.05005467010536324
N8811,0.049938463482854134
N3258,0.049935135608949244
N3592,0.04979516910216497
N4374,0.04962737716021337
N4192,0.049585867665972616
N9315,0.04949080877994749
N4531,0.04946821431092441
N8911,0.04936936987804619
N7505,0.049310818718654836
N8378,0.049260932097339616
N9775,0.04884562121774305
N4120,0.04878757865339778
N2399,0.048754972518071815
N595,0.04856185214637976
N1097,0.0485068742111503
N9914,0.04827937653805292
N1539,0.04814255700837644
N7649,0.04811670587538197
N1670,0.04800409524408522
N8178,0.04799219488217399
N8990,0.04782660312099418
N7369,0.04779796112806611
N9201,0.04778614279504034
N9711,0.04768300282110194
N3065,0.047629284566532704
N7773,0.04742043389339612
N9495,0.047381278604240684
N9261,0.04734009103364145
N7313,0.04706980832848484
N9358,0.047058168591004534
N2077,0.04700919632144429
N6943,0.04692464735034063
N444,0.04692296523963568
N5181,0.04691554534123843
N8264,0.04685654425551311
N7585,0.046743345109164336
N1627,0.04672704814748929
N7537,0.04672516980444574
N8958,0.04666673337626137
N609,0.0465583099062723
N6371,0.04616505333361509
N4166,0.046114659866204555
N2876,0.046087608952599224
N7801,0.045940974277381974
N5481,0.04576536673832887
N2477,0.045714126459368565
N2074,0.04550405661987589
N4688,0.045389881112843256
N8046,0.04529458297027622
N4403,0.045234336260870034
N8384,0.04518380940677158
N9693,0.04505507726123281
N4253,0.04504412672717306
N5491,0.04479224036963614
N7687,0.04478823555951705
N9565,0.04477639935650446
N870,0.044706946983480655
N6104,0.044488347686320706
N999,0.04443316602587588
N1924,0.044380079351382884
N1526,0.04436710626863971
N5734,0.0442646599287988
N5056,0.0442630549744627
N3939,0.04383397471765105
N9193,0.04383260703771219
N4277,0.04381900594029853
N8092,0.04369289952300437
N4121,0.04365069937095245
N5061,0.04351475029128382
N1729,0.04326934190218945
N6412,0.04323954731965296
N6263,0.04311072267722227
N4290,0.04297083190807993
N804,0.042904759092007305
N4294,0.042900031093581426
N6443,0.04287071377224749
N6073,0.04284328683410621
N8395,0.04284054156350359
N6626,0.042789092429071474
N2546,0.04277030227897871
N4219,0.04262761560057804
N8488,0.042552017580409496
N4207,0.04249886269681458
N8169,0.04249647118476951
N27,0.04234951275104604
N2553,0.04234722477291797
N8818,0.042276429088677014
N7326,0.04223024254879282
N4000,0.04215887740599911
N3664,0.04211711729010181
N2687,0.04211402345043136
N2014,0.041965328891022446
N4551,0.04173055234637135
N6262,0.04170958463527796
N8625,0.04167944868812512
N1617,0.04167327570611201
N1633,0.04165361737657958
N2778,0.04165064754062664
N8286,0.04162757793982563
N8913,0.041570735389285796
N3833,0.041546799591190675
N6743,0.041480247912243806
N7887,0.041476433449395556
N4813,0.04144711577827098
N5786,0.041436260153970395
N9541,0.04143055472494561
N409,0.04142854604727386
N8673,0.04124148412889839
N8745,0.041218387487789165
N5445,0.04112410125777766
