,0
N7774,0.07420694441835196
N5978,0.0730441780297455
N3397,0.0703283390441698
N5014,0.06519691606816491
N7966,0.06486948198889508
N1302,0.06354933358847226
N3407,0.06277695179193099
N168,0.06173810233606436
N5626,0.060295334933434086
N9419,0.05989338752706419
N4280,0.05965229155487539
N5123,0.059104166244145384
N5208,0.05902687250613736
N77,0.05840258685977129
N7054,0.057630872559109037
N8748,0.05743838617920538
N1380,0.05714863368146972
N3231,0.056191411748407694
N4778,0.05451468884479427
N7504,0.05442292148516925
N4090,0.054275233855338945
N6168,0.054217456006717235
N9686,0.05412421225788866
N3508,0.053943565523670634
N5600,0.05357821658689277
N2730,0.05357539159479363
N9092,0.05330870435309509
N1877,0.052745353838064224
N2448,0.05239094750676676
N7277,0.05230256366838315
N4176,0.051738007426305854
N9544,0.051033483542159974
N6663,0.05085527697551928
N9466,0.05074022066591399
N7595,0.050532141194400415
N6634,0.050427548627401286
N5830,0.05018311094279437
N1087,0.050029075485230834
N2063,0.04998742584169058
N3098,0.04980949479318242
N920,0.04967840747910057
N6006,0.04959802812456182
N4898,0.04945697246294012
N2503,0.04927022497533007
N3528,0.04922512817940383
N6499,0.04921078243374466
N2942,0.04920535937751436
N1935,0.049204016937704376
N8827,0.04896035429045931
N5704,0.04882594504890703
N6312,0.04872406940076934
N4771,0.048645777208246255
N7700,0.04861884630338498
N1681,0.04861221250031145
N3356,0.0485809471110743
N9442,0.04853986942984845
N3010,0.04827216593696804
N4201,0.04814735321590402
N8493,0.04808774673928018
N5986,0.048002696868516104
N6075,0.04799314234740715
N6741,0.047899316416838866
N1933,0.047820735972269546
N5409,0.04781639845637753
N7596,0.047759949916956534
N3757,0.04751066722019481
N5647,0.04741116083685393
N9197,0.047290040477288464
N287,0.04727726940053145
N6672,0.04719372945870837
N1613,0.047113074236246444
N2918,0.047084052168579804
N2690,0.04706695205777156
N4790,0.04693517481614218
N4368,0.04680588516015005
N609,0.04671626504636994
N4591,0.04664056495281299
N7711,0.04654250824761319
N479,0.04652629724843016
N3958,0.04649278614431984
N3087,0.04646196379206868
N1070,0.04645728989453768
N1361,0.046275070300775045
N3675,0.046016159013281044
N4256,0.04600839113493582
N452,0.04598259153770767
N1895,0.04597017383599322
N2249,0.04596366843663069
N2952,0.04583038108905746
N6561,0.045764096416680555
N7751,0.04564979338348096
N1360,0.04562761076488098
N2739,0.045595443266547964
N4104,0.04552504520178857
N8695,0.04540026769908123
N5144,0.04538320128473483
N5029,0.04522802114741187
N467,0.04509312048121994
N3222,0.04504188996570346
N9622,0.044987165076115554
N2428,0.044707243955416365
N9472,0.044614056508679445
N1518,0.04455758385827724
N4244,0.04451360088047074
N8677,0.04449129533854146
N7862,0.044397776228931596
N8604,0.044136074959048255
N6983,0.04409258257097437
N5087,0.0440710988520554
N9392,0.04405429408082773
N7195,0.04404199090781025
N4833,0.04388991026203226
N6117,0.04378901570840665
N7176,0.043653424525546436
N1150,0.04359444610041363
N3588,0.04356341885698023
N9224,0.04354999282652661
N3948,0.04351236335319397
N6789,0.04347805140733829
N8401,0.04346929971011937
N7865,0.04333036861320472
N7932,0.043271534590084704
N526,0.04321276201345525
N2091,0.04320049510202861
N4514,0.04313998814866471
N5850,0.04292606318473968
N8393,0.04289207616335755
N9826,0.04285438882735115
N4388,0.04275160411317791
N6753,0.042734217332179636
N2937,0.042721850730527366
N2989,0.04267857470953107
N7784,0.04260487643498134
N4753,0.0425988007253455
N8885,0.04254969352265592
N8671,0.0425193754513713
N2133,0.042516387542921086
N6712,0.0424845207476201
N65,0.04246092596435047
N8054,0.0424387766617389
N1219,0.04225212402865797
N5065,0.04224305968030784
N862,0.042228345783461796
N2908,0.04218870134023489
N2994,0.04215856620925962
N6706,0.042023612460860615
N8117,0.04191395326377356
N9165,0.041799751004856
N5370,0.04161549280274057
N1880,0.041549941438040694
N4635,0.04153405579903491
N7721,0.04152023092176438
N8742,0.04149158496454697
N590,0.04145046536985619
N7334,0.041239169546165355
N4518,0.041236768352587605
N5700,0.04122583087736431
N8863,0.041199238422200635
N9011,0.04119636131135129
N8727,0.04113360322443338
N8341,0.041049130593521665
N8172,0.04101070298471576
N8682,0.04100456617837955
N1555,0.040993454127130624
N9105,0.04093160945919383
N1967,0.0408449498536263
N4767,0.04082933763000929
N6688,0.04080717964800984
N8692,0.0408052237067571
N5658,0.04076293479389115
N7672,0.040735753641710115
N3327,0.040707006595105844
N589,0.04068019001029488
N543,0.04065917076343539
N6593,0.04063539577281006
N292,0.040521239250504104
N1887,0.040508718624537865
N8875,0.04047639380649892
N8306,0.040446592258840175
N4565,0.04041167875964091
N2807,0.04031509677020195
N1608,0.04028560525331515
N5767,0.04025758285554493
N5995,0.04025142669414761
N2557,0.04022294883876798
N2171,0.0402005307806359
N3371,0.04018617375577471
N5514,0.04017940266309039
N1262,0.040125698283534295
N1168,0.03999325180721369
N3414,0.03993167207165116
N2221,0.039905811610916775
N5664,0.039844811103487476
N3370,0.03981455564466052
N6375,0.039748280649814394
N9689,0.03974117944103228
N8446,0.03973549464963333
N5927,0.039717694172799245
N1284,0.039525711699525345
N6435,0.03951217365027304
N1331,0.03948699189925109
N6739,0.03948346808143044
N9182,0.03947956267311348
N2014,0.039445447168243275
N3067,0.039347641606317874
N6281,0.03929459346398456
N2304,0.03925588613956288
N5543,0.039199352803617415
N2696,0.03919929730356175
N1713,0.03915521580149739
N1907,0.039139971125538464
N2075,0.039095199603875974
N2161,0.039051347392398794
N2856,0.03901108215736393
N2011,0.03899712307722791
N4670,0.03897725802164875
N5604,0.038971552242833774
N2899,0.03896215745927911
N8086,0.03885359413455025
N704,0.038774651104755975
N3866,0.03871464365189148
N3883,0.03869988798272428
N1106,0.03868584903381134
N4701,0.03866598992466641
N6567,0.0386318304566835
N2835,0.03862267000806052
N865,0.0385449403393312
N4570,0.03849508566552684
N7566,0.038494214982325525
N283,0.03845569764924828
N8204,0.038433422888528135
N1021,0.038322214652319664
N8320,0.038296744091134816
N1030,0.03819584440725188
N484,0.03803978676274866
N6750,0.038034799833613464
N1204,0.038016389758259495
N6139,0.03801302920657945
N4769,0.03795664371532026
N11,0.03791462784137134
N1174,0.03789245731815072
N4133,0.037829051069870445
N2290,0.037824981726515494
N815,0.03782215122368493
N4402,0.03772511730522221
N8685,0.03770009867306068
N1182,0.037694766703443516
N5090,0.0376722737042805
N6915,0.03763476659617426
N2981,0.03758479378530999
N3338,0.037543023022287736
N4426,0.03753879510734537
N9970,0.0375128646885583
N3669,0.037497439637418584
N7362,0.03749167299509737
N7102,0.0374907148029624
N93,0.037415577638539865
N8397,0.03736588526741902
N6571,0.03734709453434237
N7637,0.037329849874240706
N7793,0.03729050033489112
N6186,0.03728480306763915
N6399,0.037253186458291454
N3133,0.0372337022690814
N6128,0.0372045777374137
N7517,0.037130553139229416
N1631,0.037101798980223144
N5049,0.037098351214170266
N2888,0.037036682288227096
N6308,0.03703253549394314
N6077,0.037018896355303976
N5868,0.036982171905985295
N2851,0.03695441974881075
N855,0.03694926045898739
N5552,0.03690468531694435
N3405,0.036903822353675064
N9906,0.03688107187819334
N8405,0.036810914591870914
N4623,0.03677016749312956
N2532,0.03673108848893558
N9277,0.03672190028414812
N820,0.03669544276211356
N5920,0.03667901599756629
N5915,0.036656848272667464
N2746,0.03665542905696295
N9637,0.03658517391527938
N9488,0.03657498187379549
N183,0.03648911139506805
N6851,0.03639195033091225
N2757,0.03634318457875163
N508,0.03632896781978712
N528,0.03628850475687839
N8517,0.03620491683146132
N3217,0.036197920295882646
N8208,0.03617454486179272
N365,0.036154243445925216
N6063,0.03611759527543157
N9301,0.036110648152329894
N3853,0.03608524270736457
N1344,0.03600119661806622
N974,0.035976285230372884
N4028,0.035958602074421586
N6112,0.03591131404499026
N9522,0.035835303049253975
N2843,0.035828773802786484
N207,0.03579766662520689
N9435,0.03577734483959283
N6823,0.035735622237166975
N4515,0.03569615024054107
N9010,0.03566651673949006
N5079,0.035658443404007034
N8212,0.035644675338225795
N4144,0.0355968792967325
N3310,0.03559110530881515
N1392,0.03558951635891816
N4063,0.0355749381193291
N8191,0.03554111876408084
N7241,0.035514915772763
N7573,0.03550364713207177
N7961,0.03546163219089715
N6176,0.03543232081599745
N2924,0.035427604127457046
N9024,0.03542679063189591
N1620,0.035421851126956394
N6787,0.03534670405180895
