,0
N7239,0.07565958363254599
N9405,0.0742202075324554
N8913,0.07166608250248996
N309,0.0667899917398449
N1067,0.06522957713111088
N7349,0.06487127868352682
N3956,0.0639543868685255
N5150,0.06315334582273624
N4094,0.060334258311643296
N2953,0.06019185871499855
N8479,0.05954736561320706
N335,0.05848254241979012
N8424,0.05845348102833414
N1004,0.058181454035718616
N8830,0.057841453730603565
N3301,0.057625646164784605
N478,0.05750202095712642
N5527,0.057441206771311704
N6338,0.057047354886305746
N6654,0.056965931610333254
N1358,0.05586751686718183
N6442,0.05515918096871997
N7271,0.05507881519463442
N7376,0.054629264162100455
N873,0.05386332459002463
N1677,0.053733179504461104
N3129,0.053536740206131084
N8309,0.05308320506246966
N8022,0.05287454225738952
N6620,0.052753419185415096
N9389,0.05254380655248325
N831,0.05249569362155304
N4369,0.05242012607796198
N4624,0.052202487685345966
N5443,0.052146471744433764
N7776,0.05199482393649468
N116,0.05196680418976651
N5570,0.05188079548865354
N5238,0.05153090278957917
N6373,0.05151435980875019
N5728,0.05136047710489011
N8101,0.05115690400591677
N3895,0.051072363313182656
N1902,0.0510039218340268
N9651,0.05067485349340384
N2928,0.05065291540888306
N1146,0.05045197658040079
N9720,0.05026241687110433
N2396,0.050108700808553897
N7563,0.05006592274161603
N2317,0.04988768504364116
N6530,0.049863544501643986
N3630,0.049813409964943434
N1950,0.04961491005215812
N1738,0.04898879748591911
N9769,0.04867373827612309
N6584,0.04863153570008594
N2949,0.04858982006278234
N8580,0.04854387790969694
N9472,0.048457220519468436
N6567,0.048457087863044146
N9885,0.04840376405529789
N8844,0.04823402448114611
N7711,0.048086794726773796
N9557,0.04787869998108496
N8974,0.04766818063655398
N3678,0.047514118165043584
N9785,0.04737858501668435
N6574,0.047357448675999114
N792,0.04729298198022991
N644,0.0470911058917991
N5741,0.047037225831616736
N8183,0.04702259305542911
N4300,0.047010562252432164
N4797,0.04687458291897362
N9481,0.04684415582972301
N5078,0.04679995516577451
N5710,0.046798208313187484
N480,0.04677581660592156
N2148,0.046759773420152584
N9850,0.04673739356493378
N8901,0.046701668096070126
N3710,0.04669405631009704
N8196,0.04668463001473522
N934,0.046661592944429175
N6780,0.04664970220481823
N7901,0.046527929572320215
N3438,0.04646282404292923
N6230,0.04638808132532923
N3025,0.046343687227363484
N9257,0.04629045827414591
N1711,0.04626778542141996
N625,0.04609525906822132
N5112,0.04604596254308446
N748,0.04597560036557913
N3152,0.04587257200541894
N2907,0.045743999216961484
N9258,0.04572532741257507
N235,0.045631618367185656
N7664,0.04552205662444164
N4554,0.045199445964424934
N6975,0.04513014563357021
N8949,0.044903482590730404
N6071,0.04486941701381908
N5664,0.04486746923433893
N8910,0.04464699782899362
N9664,0.044586209994045944
N8608,0.04458065205991679
N7957,0.04457963976688761
N2772,0.044558536165344
N5539,0.044506490110754804
N7179,0.04441202959927759
N1456,0.044359186434039355
N6693,0.044262240312933576
N2441,0.044205679226960726
N8549,0.0441081588668355
N2499,0.04410488203162566
N9318,0.04396082009449653
N1772,0.04382552623336222
N2495,0.04373398425526598
N7770,0.04370273632485833
N3082,0.043695044203720945
N2751,0.04358022135150308
N505,0.04349405839288312
N1200,0.043409357085050226
N8173,0.04338240811809779
N4891,0.04333502268928724
N5041,0.04333002710130884
N9307,0.04323161477600568
N1882,0.04295715452570481
N8941,0.042951579568449194
