,0
M3P4,0.274265746716122
M1P2,0.2720644751220507
M2P3,0.227392802662006
M0P1,0.22674212905145508
N9569,0.07561437487305112
N4355,0.06251992170716969
N9115,0.06096180221964942
N5091,0.06015360997575403
N7056,0.0596185096271864
N2752,0.0590625322552536
N7248,0.05851535082594017
N5463,0.058449624357460594
N922,0.057748010875606104
N7892,0.05753330398315715
N3294,0.05663299712381664
N5963,0.05631250948820288
N2394,0.056185526907659655
N3564,0.05618526826537318
N1759,0.05537237393821548
N9654,0.05533394043820494
N3513,0.05484513434037641
N5252,0.05474566121779412
N5669,0.05472981711791647
N8957,0.05467649354336346
N8287,0.054666506828765726
N1315,0.054570618177902874
N9937,0.05446056439781222
N1590,0.05436409539062903
N542,0.05424027278466359
N207,0.05404760714031753
N9657,0.053768858694551946
N7580,0.05351392770117558
N1922,0.053229783274173936
N2863,0.052719444787165726
N2025,0.05240639657683821
N7613,0.052318609130857174
N3769,0.051946001579678214
N9074,0.05167817711459555
N5896,0.051612052032493416
N6714,0.05153755486765954
N8311,0.051520053639466656
N8666,0.05126061792031211
N7619,0.05079316264997069
N6396,0.05061494925935128
N3845,0.050560371631465095
N2986,0.05005092443460102
N7200,0.050015336423172574
N2076,0.04997266026179892
N89,0.049895985535964416
N5162,0.049837623846300305
N704,0.04971067705082244
N5109,0.049504044291303284
N9840,0.04948297210951691
N9554,0.049425583505688486
N5255,0.0493382264183313
N6256,0.04918956100811167
N7578,0.04867152223819304
N2115,0.048660393163817206
N3420,0.048614820855640284
N411,0.04847650620577082
N6691,0.04821356478211514
N4497,0.04817706043678727
N378,0.04783943290632475
N2482,0.04780047133961007
N4154,0.0477763056127134
N3951,0.047751531367350664
N576,0.04762550659846876
N807,0.04735927283223473
N9029,0.04731903925628722
N508,0.047299307004412094
N627,0.0472772318573369
N6320,0.04710738224653199
N297,0.047094533603210254
N1023,0.047081231429193515
N1441,0.047042216289338246
N2265,0.047010613555004355
N718,0.04700766045375393
N5986,0.04694792052907615
N5095,0.04691172574813329
N3757,0.04683611345193284
N7782,0.0467715926552692
N6631,0.046744120943974066
N9536,0.046727339436867465
N554,0.04669125434278776
N8261,0.04656968881681056
N3029,0.04630976899806738
N7758,0.04630764192346137
N7860,0.0462802125674715
N884,0.04616876096315181
N1433,0.04610743025371189
N4854,0.04605468852765071
N8370,0.046032686719934546
N8740,0.045987453591718186
N6699,0.04597350480278073
N4143,0.04580605305947727
N3523,0.04562200613068268
N2118,0.04561348107300911
N3841,0.045492929533782034
N5882,0.0454114409022599
N2009,0.04538283878542293
N8945,0.045360123761491344
N3517,0.045317314790276786
N2096,0.045230316329992304
N5765,0.04514510488067214
N1295,0.0451321079569611
N8349,0.04492854424709458
N2907,0.044893731984562146
N4904,0.044861786191891406
N3749,0.04472818706459458
N5651,0.04464788897799399
N3193,0.04453148335550683
N1587,0.0443863868860519
N2156,0.0442684833450504
N5539,0.0442382233941796
N469,0.04410306615375936
N9651,0.04409472105610712
N9591,0.04408080923234303
N4087,0.04404765191347093
N8775,0.04394159168788425
N1949,0.043876937124059046
N8708,0.04381418241844681
N4377,0.04374214005715227
N1983,0.04371346765701811
N3076,0.043567503094036786
N2515,0.043563996827095997
N6784,0.043532828562955705
N9706,0.043531086546065634
N7209,0.0433403435822135
N5023,0.04332621601976627
N3500,0.04328419000190031
N2906,0.04327369372879897
N5975,0.04315231114313023
N6437,0.04309558413997472
N6471,0.043085126055379286
N1964,0.04304625450135968
N1045,0.043036226830617696
N1063,0.043026439293961216
N2594,0.04300507524162733
N4162,0.042947428288258704
N3400,0.04294444956026866
N5044,0.04263091388959017
N7989,0.04259989090500671
N200,0.042593599430006845
N7307,0.042583721819289044
N2078,0.04254020441232642
N456,0.042529987854840634
N2455,0.04239579737948529
N1079,0.04239526065393706
N1799,0.04225978898275118
N2603,0.042183597317273724
N14,0.04216021550104587
N8856,0.042119282663673596
N3416,0.04206472156184349
N1335,0.04202588796313589
N6014,0.04194086187810986
N9242,0.041916149459710894
N5923,0.04189256237182715
N8402,0.04186319631304958
N765,0.04185372892039951
N3919,0.04184198934541361
N3727,0.041746560148093526
N1547,0.04161923325733263
N1209,0.04161729200727127
N806,0.04160272662400821
N2062,0.04160173018813795
N8851,0.04160099341324153
N3907,0.041436600499898724
N8842,0.04140756522611588
N2053,0.04140572637868867
N7558,0.04139721108445915
N9503,0.04139655214096494
N9249,0.041250650712058246
N2097,0.0411635221543416
N4240,0.04114648561944767
N6889,0.0409579677880727
N3504,0.04088145472670801
N3472,0.04086527278466345
N9986,0.04079919542131738
N9747,0.04079591188486287
N1874,0.040790964156783405
N5141,0.04076776058631104
N3798,0.04071289423417568
N7369,0.04070618327473352
N7053,0.04068889104315554
N8110,0.040648776395898256
N338,0.040604416724658865
N1902,0.040557108726499314
N454,0.04050611492294065
N545,0.04045973527828561
N2932,0.04035084475237816
N1303,0.040187369304217846
N4818,0.04015331410841916
N6497,0.04015126882950515
N5671,0.04009512384666847
N9609,0.040071183937003374
N4335,0.0399781765914311
N4340,0.039952308911836765
N282,0.039845915974340285
N8273,0.03982455300024634
N5519,0.03981450807318465
N5111,0.03980068855936514
N7117,0.03973253449121095
N7642,0.039684831027541057
N7713,0.03968081849748906
N4332,0.03956875977386476
N8151,0.03956127717709679
N538,0.03954389825889937
N6982,0.03952622038048492
N5977,0.039493650359470056
N6877,0.03945721795433976
N7475,0.03941678631118806
N8094,0.03921430287025918
N5707,0.03912709444376494
N4132,0.03911857188985346
N6810,0.03907373253956292
N9750,0.0389656878065181
N3060,0.03894226325451111
N7731,0.0389201464823945
N4793,0.038848093535341466
N9600,0.03881344167926115
N3384,0.038788573690107464
N8946,0.03876443909454408
N1980,0.03871006489731266
N8560,0.03870028044740237
N1185,0.03869748818830754
N1549,0.03867818848584781
N4583,0.03866899882053243
N1847,0.03865624666409362
N2018,0.03863781396896937
N8804,0.03863136581861348
N1020,0.03852461087887571
N3602,0.03850497928068375
N6677,0.038487345389929484
N3159,0.038486253289489625
N1787,0.03842470343337978
N299,0.038370107235926376
N7712,0.0383604484773179
N4176,0.03831620493644716
N8252,0.03826659112085595
N4690,0.03825729346239837
N9258,0.03824911924436125
N3578,0.03824824497120738
N3612,0.0382480982924891
N3583,0.038246076737946444
N8466,0.03823281082552099
N5188,0.038221207349631525
N6797,0.038180630046449116
N2017,0.03813329840983215
N1793,0.038118610716572965
N3952,0.03809768332340968
N5593,0.038072773034180774
N5445,0.038070018435837794
N7244,0.038014224439917754
N4748,0.0379985307805375
N102,0.037973000374533994
N67,0.037947628920591336
N5085,0.03792969447408501
N4671,0.037884822096229565
N9682,0.03782615060898675
N5130,0.03778857300011418
